,models,params,mean_fit_time,mean_test_accuracy,mean_test_f1_macro,mean_test_geometric_mean_macro
72,DimReduct|RFC,"{'DimReduct__n_features': 73, 'RFC__random_state': 2357136044}",139.47312636375426,0.6731491477103064,0.5784660215846427,0.7124180734770938
87,DimReduct|RFC,"{'DimReduct__n_features': 88, 'RFC__random_state': 2357136044}",137.00649042129515,0.6729388510383725,0.5783708922128674,0.71244231337137
83,DimReduct|RFC,"{'DimReduct__n_features': 84, 'RFC__random_state': 2357136044}",163.0141372680664,0.6728987146025344,0.5779910889939763,0.712128356788208
59,DimReduct|RFC,"{'DimReduct__n_features': 60, 'RFC__random_state': 2357136044}",126.12703256607055,0.6728887372633388,0.5753438037369507,0.7102524745222295
80,DimReduct|RFC,"{'DimReduct__n_features': 81, 'RFC__random_state': 2357136044}",143.58659229278564,0.6726880159411982,0.5757970155083811,0.7110598269060705
63,DimReduct|RFC,"{'DimReduct__n_features': 64, 'RFC__random_state': 2357136044}",146.09657311439514,0.6726380147431859,0.5755888745782666,0.7103975327239559
82,DimReduct|RFC,"{'DimReduct__n_features': 83, 'RFC__random_state': 2357136044}",174.77418637275696,0.6726080234492307,0.5785831880483266,0.7126502721122325
71,DimReduct|RFC,"{'DimReduct__n_features': 72, 'RFC__random_state': 2357136044}",124.81572690010071,0.6725978401184468,0.5765041696115,0.7114930140764528
88,DimReduct|RFC,"{'DimReduct__n_features': 89, 'RFC__random_state': 2357136044}",153.7778748512268,0.6724877226889882,0.5768431626139117,0.7116555980896879
75,DimReduct|RFC,"{'DimReduct__n_features': 76, 'RFC__random_state': 2357136044}",144.19500827789307,0.6724675650713383,0.579811854848612,0.7133845206864613
69,DimReduct|RFC,"{'DimReduct__n_features': 70, 'RFC__random_state': 2357136044}",123.51121678352357,0.6724275271241237,0.5767577978079242,0.7116506498483146
68,DimReduct|RFC,"{'DimReduct__n_features': 69, 'RFC__random_state': 2357136044}",124.26353816986084,0.6723072725756065,0.5748662516524325,0.710019825566538
74,DimReduct|RFC,"{'DimReduct__n_features': 75, 'RFC__random_state': 2357136044}",155.92387647628783,0.6722268992485881,0.5759705244012252,0.7116022140278723
64,DimReduct|RFC,"{'DimReduct__n_features': 65, 'RFC__random_state': 2357136044}",133.5505154132843,0.6720367019197384,0.5752376513975498,0.7102027672015546
85,DimReduct|RFC,"{'DimReduct__n_features': 86, 'RFC__random_state': 2357136044}",173.00212593078612,0.6720266160520053,0.5796873767041155,0.7136042520691653
67,DimReduct|RFC,"{'DimReduct__n_features': 68, 'RFC__random_state': 2357136044}",124.14655742645263,0.6719664405313007,0.5757360341780531,0.7107804685185679
70,DimReduct|RFC,"{'DimReduct__n_features': 71, 'RFC__random_state': 2357136044}",123.1184066772461,0.6719363196259802,0.5757858555623304,0.7108099574263755
65,DimReduct|RFC,"{'DimReduct__n_features': 66, 'RFC__random_state': 2357136044}",126.74324779510498,0.6719262930600012,0.5757857238284512,0.7114221251425656
60,DimReduct|RFC,"{'DimReduct__n_features': 61, 'RFC__random_state': 2357136044}",119.41968040466308,0.6718861355501973,0.5721415926568759,0.7084631585530927
73,DimReduct|RFC,"{'DimReduct__n_features': 74, 'RFC__random_state': 2357136044}",144.29976410865783,0.6716655941984181,0.5736041078332783,0.7102079930598182
66,DimReduct|RFC,"{'DimReduct__n_features': 67, 'RFC__random_state': 2357136044}",134.52558784484864,0.6716156412421126,0.5764611533966704,0.7115034512767322
78,DimReduct|RFC,"{'DimReduct__n_features': 79, 'RFC__random_state': 2357136044}",147.97228717803955,0.6714852214400566,0.5757028203243697,0.7104570106217966
77,DimReduct|RFC,"{'DimReduct__n_features': 78, 'RFC__random_state': 2357136044}",156.28167281150817,0.6714752873376245,0.5742386179892165,0.7096574061362235
58,DimReduct|RFC,"{'DimReduct__n_features': 59, 'RFC__random_state': 2357136044}",120.99883222579956,0.671314992848376,0.5733635856926325,0.709184463289772
